City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
303,303,Yeppoon,-23.1333,150.7333,96.58,55,22,16.51,AU,2022-03-08 05:49:21,Villa Mar Colina
305,305,Manali,13.1667,80.2667,89.69,69,63,9.57,IN,2022-03-08 05:49:22,Sarathy Lodge
308,308,Gawler,-34.6,138.7333,75.25,48,0,15.23,AU,2022-03-08 05:45:05,Eagle Foundry Bed & Breakfast
310,310,Mandera,3.9366,41.867,83.21,45,40,10.65,KE,2022-03-08 05:49:24,Mwalimu Guest mandera
313,313,Batemans Bay,-35.7167,150.1833,68.99,97,100,21.65,AU,2022-03-08 05:49:26,Batemans Bay Marina Resort
315,315,Nabire,-3.3667,135.4833,84.78,63,96,3.89,ID,2022-03-08 05:49:28,Hotel Nusantara Nabire
316,316,Dodoma,-6.1722,35.7395,72.03,78,45,2.1,TZ,2022-03-08 05:46:13,Royal Village Hotel
320,320,Luena,-11.7833,19.9167,63.79,93,100,3.87,AO,2022-03-08 05:50:31,Hotel Kandamba
321,321,Touros,-5.1989,-35.4608,76.1,87,99,9.6,BR,2022-03-08 05:50:31,INN NEW HORIZON
323,323,Isangel,-19.55,169.2667,81.93,80,69,6.93,VU,2022-03-08 05:50:32,Tanna Lodge
324,324,Vao,-22.6667,167.4833,80.11,71,42,2.46,NC,2022-03-08 05:50:33,Hotel Kou-Bugny
335,335,Progreso,21.2833,-89.6667,79.11,76,3,8.52,MX,2022-03-08 05:47:31,Playa Linda Hotel
337,337,Itaituba,-4.2761,-55.9836,72.37,100,100,0.74,BR,2022-03-08 05:50:39,Hotel Campos
339,339,Catuday,16.2923,119.8062,79.2,70,51,13.67,PH,2022-03-08 05:50:40,Benjie's Kubo & Cottages
340,340,Hualmay,-11.0964,-77.6139,73.27,76,97,4.5,PE,2022-03-08 05:50:41,Hotel Villa Kitzia Huacho
341,341,Nueva Gerona,21.8833,-82.8,75.61,83,0,6.15,CU,2022-03-08 05:50:42,Villa Gerona
347,347,Bubaque,11.2833,-15.8333,77.85,55,49,11.95,GW,2022-03-08 05:50:44,"Casa Dora, Bubaque"
351,351,Penugonda,16.6667,81.7333,86.38,28,3,1.68,IN,2022-03-08 05:50:46,Prudhvi house
352,352,Victoria,22.2855,114.1577,70.03,44,2,10.0,HK,2022-03-08 05:50:15,Mini Hotel Central
353,353,Cap Malheureux,-19.9842,57.6142,81.46,82,54,7.0,MU,2022-03-08 05:50:47,Pereybere Hotel & Spa
354,354,Antofagasta,-23.65,-70.4,65.48,84,27,0.31,CL,2022-03-08 05:50:29,"Holiday Inn Express Antofagasta, an IHG Hotel"
357,357,Port Moresby,-9.4431,147.1797,87.22,66,40,17.27,PG,2022-03-08 05:50:49,Lamana Hotel (Port Moresby)
358,358,Magdalena,14.1999,121.429,89.42,64,54,12.75,PH,2022-03-08 05:50:50,Samparada & Gestiada Residences
359,359,Buenos Aires,-34.6132,-58.3772,67.73,67,0,4.61,AR,2022-03-08 05:50:11,Hotel NH Buenos Aires City
364,364,Dalbandin,28.8947,64.4101,74.01,26,75,17.45,PK,2022-03-08 05:51:53,Sanjrani House
366,366,Sao Filipe,14.8961,-24.4956,70.09,69,46,10.18,CV,2022-03-08 05:51:54,Hotel Xaguate
